InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Hard C,81 x 81,81,81,10,2,Input grid_fun call,0.00465583333333333,ok,
Hard C,81 x 81,81,81,10,2,Transfinite interpolation only,0.00247729166666667,ok,
Hard C,81 x 81,81,81,10,2,Transfinite total,0.007133125,ok,
Hard C,81 x 81,81,81,10,2,gridGenerator total,2.07466008333333,ok,
Hard C,81 x 81,81,81,10,3,Input grid_fun call,0.00294775,ok,
Hard C,81 x 81,81,81,10,3,Transfinite interpolation only,0.00159616666666667,ok,
Hard C,81 x 81,81,81,10,3,Transfinite total,0.00454391666666667,ok,
Hard C,81 x 81,81,81,10,3,gridGenerator total,1.45221766666667,ok,
Hard C,81 x 81,81,81,10,4,Input grid_fun call,0.00261520833333333,ok,
Hard C,81 x 81,81,81,10,4,Transfinite interpolation only,0.0018395,ok,
Hard C,81 x 81,81,81,10,4,Transfinite total,0.00445470833333333,ok,
Hard C,81 x 81,81,81,10,4,gridGenerator total,1.52635954166667,ok,
Hard C,81 x 81,81,81,10,5,Input grid_fun call,0.0020855,ok,
Hard C,81 x 81,81,81,10,5,Transfinite interpolation only,0.001303375,ok,
Hard C,81 x 81,81,81,10,5,Transfinite total,0.003388875,ok,
Hard C,81 x 81,81,81,10,5,gridGenerator total,1.48174754166667,ok,
Hard C,41 x 21,41,21,10,1,Input grid_fun call,0.00195404166666667,ok,
Hard C,41 x 21,41,21,10,1,Transfinite interpolation only,0.00107941666666667,ok,
Hard C,41 x 21,41,21,10,1,Transfinite total,0.00303345833333333,ok,
Hard C,41 x 21,41,21,10,1,gridGenerator total,0.692245791666667,ok,
Hard C,41 x 21,41,21,10,2,Input grid_fun call,0.00157570833333333,ok,
Hard C,41 x 21,41,21,10,2,Transfinite interpolation only,0.000889625,ok,
Hard C,41 x 21,41,21,10,2,Transfinite total,0.00246533333333333,ok,
Hard C,41 x 21,41,21,10,2,gridGenerator total,0.791497666666667,ok,
Hard C,41 x 21,41,21,10,3,Input grid_fun call,0.00478366666666667,ok,
Hard C,41 x 21,41,21,10,3,Transfinite interpolation only,0.009175375,ok,
