InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Hard C,41 x 41,41,41,10,5,Transfinite total,0.0226079583333333,ok,
Hard C,41 x 41,41,41,10,5,gridGenerator total,2.18047804166667,ok,
Hard C,81 x 81,81,81,10,1,Input grid_fun call,0.01056325,ok,
Hard C,81 x 81,81,81,10,1,Transfinite interpolation only,0.0133810833333333,ok,
Hard C,81 x 81,81,81,10,1,Transfinite total,0.0239443333333333,ok,
Hard C,81 x 81,81,81,10,1,gridGenerator total,2.14043704166667,ok,
Hard C,81 x 81,81,81,10,2,Input grid_fun call,0.0100482916666667,ok,
Hard C,81 x 81,81,81,10,2,Transfinite interpolation only,0.0043085,ok,
Hard C,81 x 81,81,81,10,2,Transfinite total,0.0143567916666667,ok,
Hard C,81 x 81,81,81,10,2,gridGenerator total,2.55217983333333,ok,
Hard C,81 x 81,81,81,10,3,Input grid_fun call,0.00377875,ok,
Hard C,81 x 81,81,81,10,3,Transfinite interpolation only,0.00179604166666667,ok,
Hard C,81 x 81,81,81,10,3,Transfinite total,0.00557479166666667,ok,
Hard C,81 x 81,81,81,10,3,gridGenerator total,1.97623633333333,ok,
Hard C,81 x 81,81,81,10,4,Input grid_fun call,0.00283679166666667,ok,
Hard C,81 x 81,81,81,10,4,Transfinite interpolation only,0.002056125,ok,
Hard C,81 x 81,81,81,10,4,Transfinite total,0.00489291666666667,ok,
Hard C,81 x 81,81,81,10,4,gridGenerator total,2.69677245833333,ok,
Hard C,81 x 81,81,81,10,5,Input grid_fun call,0.01395425,ok,
Hard C,81 x 81,81,81,10,5,Transfinite interpolation only,0.012473625,ok,
Hard C,81 x 81,81,81,10,5,Transfinite total,0.026427875,ok,
Hard C,81 x 81,81,81,10,5,gridGenerator total,2.67068604166667,ok,
Hard C,41 x 21,41,21,10,1,Input grid_fun call,0.0103193333333333,ok,
Hard C,41 x 21,41,21,10,1,Transfinite interpolation only,0.0107050833333333,ok,
Hard C,41 x 21,41,21,10,1,Transfinite total,0.0210244166666667,ok,
Hard C,41 x 21,41,21,10,1,gridGenerator total,1.57877229166667,ok,
Hard C,41 x 21,41,21,10,2,Input grid_fun call,0.0147995833333333,ok,
Hard C,41 x 21,41,21,10,2,Transfinite interpolation only,0.00756933333333333,ok,
Hard C,41 x 21,41,21,10,2,Transfinite total,0.0223689166666667,ok,
Hard C,41 x 21,41,21,10,2,gridGenerator total,2.148991375,ok,
Hard C,41 x 21,41,21,10,3,Input grid_fun call,0.04676675,ok,
Hard C,41 x 21,41,21,10,3,Transfinite interpolation only,0.049715,ok,
Hard C,41 x 21,41,21,10,3,Transfinite total,0.09648175,ok,
Hard C,41 x 21,41,21,10,3,gridGenerator total,2.232101625,ok,
Hard C,41 x 21,41,21,10,4,Input grid_fun call,0.0165450833333333,ok,
Hard C,41 x 21,41,21,10,4,Transfinite interpolation only,0.11002425,ok,
Hard C,41 x 21,41,21,10,4,Transfinite total,0.126569333333333,ok,
Hard C,41 x 21,41,21,10,4,gridGenerator total,1.44229641666667,ok,
Hard C,41 x 21,41,21,10,5,Input grid_fun call,0.0120822083333333,ok,
Hard C,41 x 21,41,21,10,5,Transfinite interpolation only,0.0142114166666667,ok,
Hard C,41 x 21,41,21,10,5,Transfinite total,0.026293625,ok,
Hard C,41 x 21,41,21,10,5,gridGenerator total,1.02718845833333,ok,
Chevron,21 x 21,21,21,10,1,Input grid_fun call,0.00880920833333333,ok,
Chevron,21 x 21,21,21,10,1,Transfinite interpolation only,0.00733920833333333,ok,
Chevron,21 x 21,21,21,10,1,Transfinite total,0.0161484166666667,ok,
Chevron,21 x 21,21,21,10,1,gridGenerator total,1.34100879166667,ok,
Chevron,21 x 21,21,21,10,2,Input grid_fun call,0.005439625,ok,
Chevron,21 x 21,21,21,10,2,Transfinite interpolation only,0.00421616666666667,ok,
Chevron,21 x 21,21,21,10,2,Transfinite total,0.00965579166666667,ok,
Chevron,21 x 21,21,21,10,2,gridGenerator total,1.20171825,ok,
Chevron,21 x 21,21,21,10,3,Input grid_fun call,0.0205475833333333,ok,
Chevron,21 x 21,21,21,10,3,Transfinite interpolation only,0.003507,ok,
Chevron,21 x 21,21,21,10,3,Transfinite total,0.0240545833333333,ok,
Chevron,21 x 21,21,21,10,3,gridGenerator total,1.47032408333333,ok,
Chevron,21 x 21,21,21,10,4,Input grid_fun call,0.00441858333333333,ok,
Chevron,21 x 21,21,21,10,4,Transfinite interpolation only,0.001917625,ok,
Chevron,21 x 21,21,21,10,4,Transfinite total,0.00633620833333333,ok,
Chevron,21 x 21,21,21,10,4,gridGenerator total,0.962334125,ok,
Chevron,21 x 21,21,21,10,5,Input grid_fun call,0.001082,ok,
Chevron,21 x 21,21,21,10,5,Transfinite interpolation only,0.000868833333333333,ok,
Chevron,21 x 21,21,21,10,5,Transfinite total,0.00195083333333333,ok,
Chevron,21 x 21,21,21,10,5,gridGenerator total,1.20046804166667,ok,
Chevron,41 x 41,41,41,10,1,Input grid_fun call,0.016742375,ok,
Chevron,41 x 41,41,41,10,1,Transfinite interpolation only,0.0218440416666667,ok,
Chevron,41 x 41,41,41,10,1,Transfinite total,0.0385864166666667,ok,
Chevron,41 x 41,41,41,10,1,gridGenerator total,1.56913604166667,ok,
Chevron,41 x 41,41,41,10,2,Input grid_fun call,0.001820625,ok,
Chevron,41 x 41,41,41,10,2,Transfinite interpolation only,0.001323875,ok,
Chevron,41 x 41,41,41,10,2,Transfinite total,0.0031445,ok,
Chevron,41 x 41,41,41,10,2,gridGenerator total,1.69172691666667,ok,
Chevron,41 x 41,41,41,10,3,Input grid_fun call,0.001805375,ok,
Chevron,41 x 41,41,41,10,3,Transfinite interpolation only,0.00121320833333333,ok,
Chevron,41 x 41,41,41,10,3,Transfinite total,0.00301858333333333,ok,
Chevron,41 x 41,41,41,10,3,gridGenerator total,1.17328729166667,ok,
Chevron,41 x 41,41,41,10,4,Input grid_fun call,0.00121170833333333,ok,
Chevron,41 x 41,41,41,10,4,Transfinite interpolation only,0.00107279166666667,ok,
Chevron,41 x 41,41,41,10,4,Transfinite total,0.0022845,ok,
Chevron,41 x 41,41,41,10,4,gridGenerator total,1.109336625,ok,
Chevron,41 x 41,41,41,10,5,Input grid_fun call,0.00209445833333333,ok,
Chevron,41 x 41,41,41,10,5,Transfinite interpolation only,0.000893583333333333,ok,
Chevron,41 x 41,41,41,10,5,Transfinite total,0.00298804166666667,ok,
Chevron,41 x 41,41,41,10,5,gridGenerator total,1.14569016666667,ok,
Chevron,81 x 81,81,81,10,1,Input grid_fun call,0.0017625,ok,
Chevron,81 x 81,81,81,10,1,Transfinite interpolation only,0.001083875,ok,
Chevron,81 x 81,81,81,10,1,Transfinite total,0.002846375,ok,
Chevron,81 x 81,81,81,10,1,gridGenerator total,1.43422083333333,ok,
Chevron,81 x 81,81,81,10,2,Input grid_fun call,0.0015005,ok,
Chevron,81 x 81,81,81,10,2,Transfinite interpolation only,0.00135575,ok,
Chevron,81 x 81,81,81,10,2,Transfinite total,0.00285625,ok,
Chevron,81 x 81,81,81,10,2,gridGenerator total,1.36025325,ok,
Chevron,81 x 81,81,81,10,3,Input grid_fun call,0.001075,ok,
Chevron,81 x 81,81,81,10,3,Transfinite interpolation only,0.000955458333333333,ok,
Chevron,81 x 81,81,81,10,3,Transfinite total,0.00203045833333333,ok,
Chevron,81 x 81,81,81,10,3,gridGenerator total,1.38559425,ok,
Chevron,81 x 81,81,81,10,4,Input grid_fun call,0.00363295833333333,ok,
Chevron,81 x 81,81,81,10,4,Transfinite interpolation only,0.00111095833333333,ok,
Chevron,81 x 81,81,81,10,4,Transfinite total,0.00474391666666667,ok,
Chevron,81 x 81,81,81,10,4,gridGenerator total,1.43584891666667,ok,
Chevron,81 x 81,81,81,10,5,Input grid_fun call,0.00208141666666667,ok,
Chevron,81 x 81,81,81,10,5,Transfinite interpolation only,0.000950375,ok,
Chevron,81 x 81,81,81,10,5,Transfinite total,0.00303179166666667,ok,
Chevron,81 x 81,81,81,10,5,gridGenerator total,1.41808454166667,ok,
Chevron,41 x 21,41,21,10,1,Input grid_fun call,0.001622,ok,
Chevron,41 x 21,41,21,10,1,Transfinite interpolation only,0.00099725,ok,
Chevron,41 x 21,41,21,10,1,Transfinite total,0.00261925,ok,
Chevron,41 x 21,41,21,10,1,gridGenerator total,0.713862666666667,ok,
Chevron,41 x 21,41,21,10,2,Input grid_fun call,0.00134116666666667,ok,
Chevron,41 x 21,41,21,10,2,Transfinite interpolation only,0.00109283333333333,ok,
Chevron,41 x 21,41,21,10,2,Transfinite total,0.002434,ok,
Chevron,41 x 21,41,21,10,2,gridGenerator total,0.707611583333333,ok,
Chevron,41 x 21,41,21,10,3,Input grid_fun call,0.000907,ok,
Chevron,41 x 21,41,21,10,3,Transfinite interpolation only,0.000635291666666667,ok,
Chevron,41 x 21,41,21,10,3,Transfinite total,0.00154229166666667,ok,
Chevron,41 x 21,41,21,10,3,gridGenerator total,0.7359995,ok,
Chevron,41 x 21,41,21,10,4,Input grid_fun call,0.000952625,ok,
Chevron,41 x 21,41,21,10,4,Transfinite interpolation only,0.00148520833333333,ok,
Chevron,41 x 21,41,21,10,4,Transfinite total,0.00243783333333333,ok,
Chevron,41 x 21,41,21,10,4,gridGenerator total,0.705136875,ok,
Chevron,41 x 21,41,21,10,5,Input grid_fun call,0.00151570833333333,ok,
Chevron,41 x 21,41,21,10,5,Transfinite interpolation only,0.00107179166666667,ok,
Chevron,41 x 21,41,21,10,5,Transfinite total,0.0025875,ok,
Chevron,41 x 21,41,21,10,5,gridGenerator total,0.742212458333333,ok,
